symbol,date,open,high,low,close,volume,adjusted
AA,2013-05-03,20.47356,20.906099,20.425501,20.71386,8809300,19.839708
AA,2013-05-06,20.80998,20.954161,20.6658,20.882071,4339000,20.00082
AA,2013-05-10,21.098339,21.1464,20.6658,20.906099,6065600,20.091795
AA,2013-05-13,20.80998,20.85804,20.44953,20.497589,5246000,19.699192
AA,2013-05-17,20.569679,20.80998,20.54565,20.689831,5236200,19.883945
AA,2013-05-20,20.689831,21.07431,20.689831,21.05028,6885600,20.230352
AA,2013-05-24,20.44953,20.617741,20.305349,20.377439,5708600,19.583723
AA,2013-05-31,20.353411,20.71386,20.305349,20.425501,7537500,19.62991
AA,2013-06-03,20.497589,20.641769,20.25729,20.47356,6568400,19.6761
AA,2013-06-07,19.896839,20.06505,19.704599,20.016991,4064000,19.237314
AA,2013-06-10,20.041019,20.161169,19.77669,20.089081,4550100,19.306595
AA,2013-06-14,19.84878,19.944901,19.488331,19.51236,6935500,18.752338
AA,2013-06-17,19.704599,19.72863,19.4643,19.488331,5371900,18.729248
AA,2013-06-21,19.368179,19.488331,19.17594,19.17594,18714200,18.429022
AA,2013-06-24,19.12788,19.151911,18.52713,18.71937,12438000,17.990231
AA,2013-06-28,18.815491,18.93564,18.695339,18.79146,6044900,18.059517
AA,2013-07-01,18.815491,19.00773,18.695339,18.887581,5960600,18.151894
AA,2013-07-05,18.67131,18.767429,18.406981,18.767429,6199200,18.036427
AA,2013-07-08,18.93564,19.079821,18.743401,19.031759,10011900,18.290455
AA,2013-07-12,19.416241,19.560419,19.27206,19.4643,7973100,18.706152
AA,2013-07-15,19.440269,19.65654,19.416241,19.632509,3126800,18.867804
AA,2013-07-19,19.77669,19.77669,19.32012,19.39221,9890600,18.636869
AA,2013-07-22,19.4643,19.560419,19.39221,19.51236,3381000,18.752338
AA,2013-07-26,19.224001,19.416241,19.12788,19.39221,3633300,18.636869
AA,2013-07-29,19.368179,19.368179,19.224001,19.32012,3493100,18.567585
AA,2013-08-02,19.079821,19.296089,19.00773,19.151911,5014700,18.405933
AA,2013-08-05,19.079821,19.24803,19.00773,19.224001,8023000,18.475208
AA,2013-08-09,19.031759,19.752661,19.031759,19.752661,16010100,19.05555
AA,2013-08-12,19.752661,19.896839,19.65654,19.84878,9032400,19.148277
AA,2013-08-16,19.416241,19.51236,19.103849,19.51236,12439300,18.823729
AA,2013-08-19,19.39221,19.440269,19.05579,19.079821,7738000,18.406458
AA,2013-08-23,19.32012,19.51236,19.24803,19.344151,4636500,18.661459
AA,2013-08-26,19.39221,19.51236,19.32012,19.368179,5348100,18.684637
AA,2013-08-30,18.79146,18.83952,18.45504,18.503099,18202900,17.850086
AA,2013-09-06,18.9837,19.103849,18.86355,19.031759,7241100,18.36009
AA,2013-09-09,19.12788,19.58445,19.079821,19.416241,15624000,18.731003
AA,2013-09-13,19.58445,19.65654,19.368179,19.416241,6235200,18.731003
AA,2013-09-16,19.632509,19.65654,19.440269,19.4643,6436900,18.777367
AA,2013-09-20,20.281321,20.281321,19.84878,19.92087,19623400,19.217825
AA,2013-09-23,19.824751,20.11311,19.824751,19.896839,5449100,19.194643
AA,2013-09-27,19.824751,19.896839,19.65654,19.704599,5872900,19.009184
AA,2013-09-30,19.4643,19.704599,19.39221,19.51236,8309300,18.823729
AA,2013-10-04,18.9837,19.368179,18.93564,19.12788,8303400,18.452818
AA,2013-10-07,18.9837,19.224001,18.83952,19.151911,15302700,18.476004
AA,2013-10-11,20.041019,20.233259,19.80072,19.99296,11416400,19.287367
AA,2013-10-14,19.87281,20.40147,19.87281,20.305349,8090500,19.588736
AA,2013-10-18,20.761921,20.85804,20.497589,20.73789,8849000,20.00601
AA,2013-10-21,20.761921,20.85804,20.52162,20.6658,6755000,19.936466
AA,2013-10-25,22.227751,22.39596,21.963421,22.20372,9678200,21.420107
AA,2013-10-28,22.155661,23.164921,22.13163,22.972679,17840000,22.161926
AA,2013-11-01,22.371929,22.516109,21.98745,22.27581,9174900,21.489653
AA,2013-11-04,22.419991,23.957911,22.39596,23.837761,22924000,22.996475
AA,2013-11-08,21.699089,21.819241,21.098339,21.771179,9853500,21.067455
AA,2013-11-11,21.819241,22.20372,21.65103,21.699089,7474000,20.997696
AA,2013-11-15,21.554911,21.8673,21.554911,21.699089,5330800,20.997696
AA,2013-11-18,21.771179,21.843269,21.45879,21.506849,6419400,20.81167
AA,2013-11-22,21.891331,22.27581,21.79521,22.20372,10115100,21.486015
AA,2013-11-25,23.381189,23.429251,22.87656,23.044769,17439000,22.299883
AA,2013-11-29,23.26104,23.357161,23.0688,23.092831,3631900,22.34639
AA,2013-12-02,23.116859,23.18895,22.85253,22.94865,8621300,22.206867
AA,2013-12-06,22.68432,22.780439,22.46805,22.492081,7017200,21.765057
AA,2013-12-09,22.5882,22.87656,22.54014,22.780439,6606100,22.044092
AA,2013-12-13,22.492081,22.85253,22.444019,22.85253,8701400,22.113853
AA,2013-12-16,22.92462,23.116859,22.85253,22.99671,7025500,22.25337
AA,2013-12-20,24.054029,24.22224,23.837761,23.88582,8066500,23.113745
AA,2013-12-23,24.00597,24.438511,23.909849,24.34239,7450600,23.555553
AA,2013-12-27,24.991199,25.712099,24.991199,25.68807,7905700,24.857737
AA,2013-12-30,25.66404,25.88031,25.255529,25.303591,6040500,24.485683
AA,2014-01-03,25.32762,25.640011,25.183439,25.39971,5259100,24.578699
AA,2014-01-06,25.54389,25.66404,25.15941,25.303591,6280200,24.485683
AA,2014-01-10,23.981939,24.510599,23.59746,24.294331,30988700,23.509048
AA,2014-01-13,24.48657,24.630751,24.15015,24.2703,10040500,23.485796
AA,2014-01-17,26.505091,27.706591,26.505091,27.29808,22463900,26.415709
AA,2014-01-24,28.61973,28.787939,27.394199,27.49032,25728900,26.601732
AA,2014-01-27,27.658529,28.40346,27.322109,27.970921,11648500,27.066799
AA,2014-01-31,27.8748,28.3554,27.514351,27.658529,13738700,26.764509
AA,2014-02-03,27.68256,28.16316,26.913601,26.985689,11057900,26.113415
AA,2014-02-07,26.577181,26.93763,26.55315,26.88957,6372100,26.088758
AA,2014-02-10,26.93763,27.129869,26.02449,26.577181,9228200,25.785669
AA,2014-02-14,27.41823,27.61047,27.1539,27.322109,4770100,26.508415
AA,2014-02-21,28.451521,28.643761,28.187189,28.187189,8436200,27.347729
AA,2014-02-24,28.16316,28.40346,27.94689,28.28331,6983200,27.440989
AA,2014-02-28,28.76391,28.88406,28.09107,28.21122,7913200,27.371046
AA,2014-03-03,27.75465,28.259279,27.53838,27.922859,7680200,27.091272
AA,2014-03-07,29.052271,29.36466,28.523609,29.22048,14246600,28.350248
AA,2014-03-10,28.88406,28.908091,28.13913,28.69182,10485300,27.837332
AA,2014-03-14,28.643761,28.715851,27.89883,28.451521,9538000,27.604189
AA,2014-03-17,28.595699,28.95615,28.451521,28.595699,5053800,27.744074
AA,2014-03-21,29.00421,29.0763,28.69182,28.860029,13490600,28.000534
AA,2014-03-24,28.980181,29.388691,28.69182,28.860029,12023200,28.000534
AA,2014-03-28,30.470039,30.63825,29.797199,29.989441,13978500,29.096308
AA,2014-03-31,30.08556,31.16691,30.061529,30.926611,16545100,30.005569
AA,2014-04-04,30.782431,31.407209,30.30183,30.34989,6826900,29.446026
AA,2014-04-07,30.37392,30.7584,29.70108,29.96541,12659000,29.072994
AA,2014-04-11,30.109591000000002,30.30183,29.653021,30.133619,18771600,29.236191
AA,2014-04-14,30.15765,31.046761,30.0375,30.90258,12348900,29.982256
AA,2014-04-21,32.56065,32.680801,32.344379000000004,32.41647,5728500,31.451056
AA,2014-04-25,32.464531,32.464531,31.76766,32.03199,9556100,31.078026
AA,2014-04-28,32.152142,32.152142,31.35915,31.81572,9038400,30.8682
AA,2014-05-02,32.84901,33.37767,32.728859,32.969158,5326500,31.987286
AA,2014-05-05,32.728859,32.84901,32.392441,32.512589,5046000,31.54431
AA,2014-05-09,31.9599,32.152142,31.671539,31.83975,3960600,30.961248
AA,2014-05-12,32.296322,33.209461,32.272289,33.185429,8388500,32.269802
AA,2014-05-16,31.9599,32.368408,31.671539,32.320351,7003300,31.428583
AA,2014-05-19,32.17617,32.512589,32.17617,32.464531,4970400,31.568783
AA,2014-05-23,31.719601,32.536621,31.671539,32.48856,4594600,31.592155
AA,2014-05-30,32.464531,32.70483,32.224232,32.70483,4010100,31.802452
AA,2014-06-02,33.08931,33.329609,32.536621,33.23349,5901200,32.316525
AA,2014-06-06,33.521851,34.483051,33.497822,34.483051,6615300,33.53162
AA,2014-06-09,34.459019,35.03574,34.266781,34.483051,4745300,33.53162
AA,2014-06-13,33.858269,34.987679,33.810211,34.89156,5999200,33.928852
AA,2014-06-16,34.819469,34.89156,34.410961,34.483051,3105700,33.53162
AA,2014-06-20,34.915588,35.203949,34.747379,35.131859,6171600,34.162521
AA,2014-06-23,35.300072,35.540371,35.203949,35.49231,3185700,34.513027
AA,2014-06-27,35.85276,36.044998,35.444248,35.876789,7452100,34.886898
AA,2014-06-30,35.78067,35.804699,35.276039,35.78067,5393200,34.793423
AA,2014-07-07,36.020969,36.16515,35.3241,35.420219,6859000,34.442924
AA,2014-07-11,37.58292,38.39994,37.534859,38.375912,6475500,37.317062
AA,2014-07-14,38.85651,39.048752,38.231731,38.71233,10096600,37.644207
AA,2014-07-18,39.24099,39.84174,39.216961,39.625469,5247400,38.532146
AA,2014-07-21,39.38517,40.082039,39.31308,39.937859,7728400,38.835915
AA,2014-07-25,40.706821,40.706821,39.721588,39.793678,8875100,38.695721
AA,2014-07-28,39.889801,40.923092,39.889801,40.875031,7494500,39.747231
AA,2014-08-01,39.072781,39.91383,38.9286,39.505322,6069400,38.415314
AA,2014-08-04,39.84174,40.226219,39.52935,40.154129,6229300,39.046219
AA,2014-08-08,37.775162,38.808449,37.486801,38.688301,5771900,37.689613
AA,2014-08-11,39.1689,39.433231,38.808449,38.904572,4123200,37.900311
AA,2014-08-15,39.096809,39.216961,38.496059,38.71233,4703600,37.71302
AA,2014-08-18,38.9286,39.31308,38.808449,39.216961,4908700,38.204624
AA,2014-08-22,39.1689,39.721588,39.024719,39.52935,3160500,38.508953
AA,2014-08-25,39.60144,39.817711,39.337109,39.60144,3031500,38.579182
AA,2014-08-29,39.961891,40.106071,39.577412,39.91383,3811300,38.883503
AA,2014-09-05,41.11533,41.547871,40.875031,41.523842,3995700,40.451958
AA,2014-09-08,41.523842,41.571899,40.754879,40.875031,4661600,39.819889
AA,2014-09-12,40.80294,40.80294,39.76965,40.178162,8400600,39.14101
AA,2014-09-15,40.178162,40.250252,38.976662,39.38517,8678200,38.368496
AA,2014-09-19,39.120838,39.265018,38.832481,38.952629,8313700,37.947117
AA,2014-09-22,38.85651,38.85651,37.799191,38.03949,9391600,37.057545
AA,2014-09-26,37.7271,39.00069,37.606949,38.904572,8205100,37.900311
AA,2014-09-29,38.279789,38.664268,37.847252,38.279789,7222400,37.291634
AA,2014-10-03,37.150379,37.919338,36.982170000000004,37.486801,8449800,36.519123
AA,2014-10-06,37.871281,38.56815,37.679039,38.423969,9895600,37.432102
AA,2014-10-10,36.597691,36.886051,35.131859,35.348129,16532700,34.435661
AA,2014-10-13,35.78067,36.669781,34.723351,34.819469,10422400,33.92065
AA,2014-10-17,35.70858,37.534859,35.612461,37.534859,14881800,36.565945
AA,2014-10-20,37.342621,37.751129,37.102322,37.703072,6332700,36.72982
AA,2014-10-24,39.24099,39.817711,38.976662,39.76965,5349000,38.743046
AA,2014-10-27,39.793678,39.817711,39.192928,39.361141,6426900,38.345081
AA,2014-10-31,39.481289,40.274281,39.024719,40.274281,7749100,39.23465
AA,2014-11-03,40.322338,40.923092,40.009949,40.682789,6643900,39.632618
AA,2014-11-07,39.577412,39.625469,39.024719,39.24099,5621000,38.297409
AA,2014-11-10,39.096809,39.553379,38.832481,39.216961,4461500,38.273964
AA,2014-11-14,40.226219,40.80294,39.91383,40.706821,3676600,39.727993
AA,2014-11-17,40.634731,40.73085,40.250252,40.44249,3189300,39.470024
AA,2014-11-21,42.100559,42.653252,41.64399,41.93235,8607600,40.924061
AA,2014-11-24,42.052502,42.31683,41.235481,41.379662,5386500,40.384655
AA,2014-11-28,42.24474,42.268768,41.235481,41.547871,3668600,40.548824
AA,2014-12-01,41.812199,41.86026,40.851002,41.18742,5544900,40.197041
AA,2014-12-05,41.71608,41.78817,40.634731,40.73085,6791600,39.75145
AA,2014-12-08,40.610699,40.754879,39.00069,39.144871,9152800,38.203609
AA,2014-12-12,36.09306,36.741871,35.684551,35.732609,7966900,34.873394
AA,2014-12-15,36.189178,36.741871,35.804699,35.876789,10707400,35.014111
AA,2014-12-19,37.919338,38.544121,37.799191,38.303822,8393500,37.382786
AA,2014-12-22,38.375912,38.423969,37.198441,37.823219,7135500,36.913738
AA,2014-12-26,38.159641,38.279789,37.919338,38.015461,2644900,37.101357
AA,2014-12-29,38.063519,38.351879,37.799191,38.015461,2949500,37.101357
AA,2015-01-02,38.135609,38.39994,37.65501,38.159641,4340300,37.242069
AA,2015-01-05,37.58292,37.606949,35.78067,35.948879,9026400,35.084465
AA,2015-01-09,38.520088,38.808449,37.847252,38.71233,6963000,37.781467
AA,2015-01-12,39.409199,39.481289,38.279789,38.85651,12658800,37.92218
AA,2015-01-16,35.948879,36.717838,35.948879,36.717838,9056400,35.83493
AA,2015-01-23,37.9674,38.32785,37.342621,37.871281,7765000,36.96064
AA,2015-01-26,37.751129,38.71233,37.390678,38.64024,5157000,37.711109
AA,2015-01-30,38.087551,38.56815,37.534859,37.606949,6991100,36.702663
AA,2015-02-02,38.015461,38.688301,37.871281,38.616211,6117700,37.68766
AA,2015-02-06,40.851002,40.851002,39.577412,39.817711,8717800,38.93058
AA,2015-02-09,38.688301,38.688301,37.36665,37.606949,12946100,36.769073
AA,2015-02-13,37.9674,38.25576,37.486801,37.991428,6689700,37.144985
AA,2015-02-20,38.279789,38.616211,37.7271,37.943371,5900700,37.098
AA,2015-02-23,37.558891,37.58292,36.958141,37.270531,5818800,36.440155
AA,2015-02-27,36.285301,36.405449,35.3241,35.540371,8656400,34.748539
AA,2015-03-02,35.540371,36.09306,35.420219,35.92485,8059600,35.124451
AA,2015-03-06,34.386929,34.987679,34.194691,34.795441,8322400,34.020203
AA,2015-03-09,33.473789,33.61797,32.056019,32.921101,32623000,32.187626
AA,2015-03-13,32.993191,33.113338,32.24826,32.608711,7036700,31.882196
AA,2015-03-16,32.77692,32.84901,31.671539,31.935869,12438000,31.224346
AA,2015-03-20,31.28706,31.455271,30.998699,31.16691,16130700,30.472517
AA,2015-03-23,31.09482,31.719601,30.998699,31.239,10528200,30.543003
AA,2015-03-27,30.83049,30.87855,30.397949,30.518101,7071700,29.838163
AA,2015-03-30,30.87855,31.263029,30.71034,31.142879,6711800,30.449022
AA,2015-04-06,31.88781,32.296322,31.743629,32.10408,9484700,31.388809
AA,2015-04-10,31.81572,31.88781,31.239,31.599449,15169200,30.895422
AA,2015-04-13,31.57542,32.152142,31.455271,31.935869,9540900,31.224346
AA,2015-04-17,32.17617,32.48856,31.9599,32.344379000000004,9893100,31.623753
AA,2015-04-20,32.512589,32.993191,32.344379000000004,32.63274,7364500,31.905689
AA,2015-04-24,31.88781,31.935869,31.647511,31.76766,8515100,31.059883
AA,2015-04-27,31.91184,32.752892,31.88781,32.320351,11901900,31.600264
AA,2015-05-01,32.440498,34.338871,32.392441,34.002449,20958500,33.244881
AA,2015-05-04,33.954391,34.242748,33.666031,33.666031,7292000,32.915958
AA,2015-05-08,33.257519,33.353642,32.800949,33.209461,5215300,32.540817
AA,2015-05-11,33.30558,33.37767,32.728859,32.800949,4553400,32.140526
AA,2015-05-15,32.77692,32.800949,32.464531,32.536621,3870600,31.881531
AA,2015-05-18,32.48856,32.512589,31.9599,32.200199,6537000,31.55188
AA,2015-05-22,31.21497,31.35915,31.070789,31.09482,5460500,30.468754
AA,2015-05-29,30.325859,30.397949,29.89332,30.0375,9207800,29.432722
AA,2015-06-01,30.133619,30.15765,29.532869,29.845261,5834800,29.244352
AA,2015-06-05,29.917351,30.01347,29.67705,29.845261,7181700,29.244352
AA,2015-06-08,29.797199,29.845261,29.41272,29.43675,7347500,28.844069
AA,2015-06-12,29.00421,29.22048,28.88406,28.980181,6051600,28.396692
AA,2015-06-15,28.76391,29.10033,28.643761,28.836,5307900,28.255415
AA,2015-06-19,28.595699,28.836,28.49958,28.667789,7951000,28.090588
AA,2015-06-22,28.595699,28.595699,28.09107,28.259279,10027200,27.690304
AA,2015-06-26,27.82674,28.259279,27.778681,28.09107,6763600,27.52548
AA,2015-06-29,27.586439,27.89883,27.250019,27.27405,8292300,26.724911
AA,2015-07-06,26.312851,26.74539,26.240761,26.505091,7507300,25.971434
AA,2015-07-10,25.88031,26.120609,25.495831,25.54389,9911800,25.029585
AA,2015-07-13,25.88031,26.048519,25.68807,26.00046,7938200,25.476965
AA,2015-07-17,25.20747,25.35165,24.895081,25.20747,6659800,24.699938
AA,2015-07-20,25.111349,25.15941,24.46254,24.510599,9474200,24.017099
AA,2015-07-24,23.81373,23.81373,23.18895,23.573429,11491600,23.098801
AA,2015-07-27,23.33313,24.00597,23.044769,23.116859,11601100,22.651421
AA,2015-07-31,24.246269,24.366421,23.693581,23.717609,7629800,23.24008
AA,2015-08-03,23.59746,23.59746,23.020741,23.164921,8966200,22.698515
AA,2015-08-07,23.59746,24.174179,22.492081,22.61223,13834700,22.225481
AA,2015-08-10,22.900591,24.246269,22.61223,24.22224,11631900,23.807955
AA,2015-08-14,22.39596,22.66029,22.299841,22.61223,5513100,22.225481
AA,2015-08-17,22.371929,22.80447,22.25178,22.66029,4549300,22.272717
AA,2015-08-21,21.554911,21.578939,20.978189,20.978189,10484700,20.619387
AA,2015-08-24,19.704599,20.52162,19.151911,19.704599,17121400,19.36758
AA,2015-08-28,21.33864,22.636259,21.1464,22.61223,17510900,22.225481
AA,2015-08-31,22.27581,22.900591,22.155661,22.708349,12678400,22.319952
AA,2015-09-04,22.564171,23.164921,22.3479,22.80447,20015700,22.414431
AA,2015-09-11,23.0688,23.429251,22.92462,23.18895,8154500,22.792334
AA,2015-09-14,23.020741,23.092831,22.39596,22.54014,13011200,22.154621
AA,2015-09-18,23.66955,24.102091,23.453279,23.957911,12108600,23.548143
AA,2015-09-21,23.981939,24.2703,23.7897,23.7897,7369600,23.382811
AA,2015-09-25,22.227751,22.32387,21.53088,21.79521,7908800,21.422434
AA,2015-09-28,22.73238,23.164921,22.107599,23.044769,39826500,22.65062
AA,2015-10-02,21.98745,22.87656,21.8673,22.87656,11710100,22.485287
AA,2015-10-05,23.092831,25.111349,23.0688,25.01523,20160200,24.587379
AA,2015-10-09,25.640011,26.240761,24.630751,24.654779,32757900,24.233091
AA,2015-10-12,24.702841,24.72687,23.957911,24.22224,13085200,23.807955
AA,2015-10-16,23.501341,23.52537,22.66029,22.94865,11370500,22.556145
AA,2015-10-19,22.66029,22.99671,22.492081,22.636259,9597500,22.249096
AA,2015-10-23,22.01148,22.299841,21.771179,21.963421,8446500,21.587767
AA,2015-10-26,21.93939,22.08357,20.93013,21.07431,10811600,20.713865
AA,2015-10-30,21.554911,21.771179,21.31461,21.45879,14542000,21.091766
AA,2015-11-02,21.506849,22.20372,21.45879,22.035509,12476700,21.658623
AA,2015-11-06,21.891331,22.05954,21.578939,21.843269,9720900,21.538557
AA,2015-11-09,21.554911,21.627001,20.425501,20.689831,18093700,20.401209
AA,2015-11-13,18.86355,19.368179,18.79146,19.19997,10909900,18.932133
AA,2015-11-16,19.151911,19.99296,19.12788,19.92087,14040100,19.642975
AA,2015-11-20,21.170429,21.3867,20.641769,20.882071,10348000,20.590765
AA,2015-11-23,21.74715,22.20372,21.31461,21.79521,18402300,21.491169
AA,2015-11-27,22.39596,22.73238,22.3479,22.39596,4095200,22.083534
AA,2015-11-30,22.419991,22.85253,22.371929,22.492081,10018600,22.178318
AA,2015-12-04,21.699089,22.54014,21.627001,22.444019,12284000,22.130928
AA,2015-12-07,22.73238,22.756411,21.506849,21.72312,15582300,21.420084
AA,2015-12-11,21.578939,21.67506,21.026251,21.290581,12975500,20.99358
AA,2015-12-14,21.242519,21.74715,20.85804,21.627001,15272000,21.325304
AA,2015-12-18,22.01148,22.61223,21.93939,22.179689,13507900,21.870283
AA,2015-12-21,22.46805,22.66029,22.179689,22.39596,10401600,22.083534
AA,2015-12-28,24.030001,24.054029,23.573429,23.981939,6495300,23.647394
AA,2016-01-04,22.87656,23.5494,22.708349,23.33313,15779900,23.007635
AA,2016-01-08,20.47356,20.569679,19.27206,19.39221,17366500,19.121691
AA,2016-01-11,19.92087,19.92087,18.9837,19.224001,19951000,18.955828
AA,2016-01-15,16.676821,16.869061,16.268311,16.5807,21738800,16.3494
AA,2016-01-22,17.51787,17.830259,16.412491,16.50861,14308800,16.278316
AA,2016-01-25,16.364429,16.820999,16.24428,16.340401,14161500,16.112455
AA,2016-01-29,16.77294,17.51787,16.77294,17.51787,14886500,17.273497
AA,2016-02-01,17.73414,17.73414,17.085329,17.32563,11044300,17.083937
AA,2016-02-05,19.560419,20.425501,18.93564,19.51236,17872400,19.323334
AA,2016-02-08,18.57519,20.233259,18.52713,18.9837,16452300,18.799797
AA,2016-02-12,18.094589,18.695339,17.686081,18.479071,10832800,18.300055
AA,2016-02-19,19.296089,19.440269,18.83952,18.91161,12881300,18.728405
AA,2016-02-22,19.32012,21.45879,19.32012,21.41073,22938400,21.203316
AA,2016-02-26,21.915359,22.13163,21.19446,21.31461,9315800,21.108124
AA,2016-02-29,21.506849,21.891331,21.26655,21.45879,9189800,21.250908
AA,2016-03-04,23.044769,24.12612,22.636259,22.99671,16989200,22.77393
AA,2016-03-07,23.21298,24.19821,23.092831,24.12612,17470600,23.892399
AA,2016-03-11,23.33313,23.66955,22.708349,22.87656,9729500,22.654943
AA,2016-03-14,22.61223,23.5494,22.492081,23.237009,9020400,23.0119
AA,2016-03-18,24.030001,24.558661,23.5494,24.102091,13993200,23.868603
AA,2016-03-21,23.88582,24.12612,23.33313,23.765671,7950000,23.53544
AA,2016-03-28,23.237009,23.645519,22.756411,23.309099,6867000,23.083292
AA,2016-04-01,22.68432,23.164921,22.46805,23.14089,7312700,22.916714
AA,2016-04-04,23.020741,23.47731,22.516109,22.5882,8300700,22.369377
AA,2016-04-08,23.309099,23.381189,22.46805,22.516109,14638200,22.297985
AA,2016-04-11,22.900591,23.66955,22.66029,23.40522,19303200,23.178484
AA,2016-04-15,23.981939,24.39045,23.88582,24.054029,11212300,23.821007
AA,2016-04-18,23.573429,24.34239,23.501341,24.246269,8736500,24.011383
AA,2016-04-22,25.111349,25.567921,24.79896,24.991199,8394300,24.749098
AA,2016-04-25,24.774929,24.87105,24.2703,24.41448,8077500,24.177965
AA,2016-04-29,27.105841,27.634501,26.60121,26.841511,17318900,26.581484
AA,2016-05-02,26.913601,27.057779,26.07255,26.33688,10785100,26.081741
AA,2016-05-06,24.00597,24.72687,24.00597,24.12612,7668200,23.961853
AA,2016-05-09,23.693581,23.693581,22.68432,22.73238,14081700,22.577602
AA,2016-05-13,22.46805,22.92462,22.05954,22.107599,7563700,21.957077
AA,2016-05-16,22.3479,22.756411,22.20372,22.299841,8276100,22.148008
AA,2016-05-20,22.179689,22.299841,21.67506,21.891331,7857100,21.742281
AA,2016-05-23,22.299841,22.492081,21.93939,22.299841,8475400,22.148008
AA,2016-05-27,22.85253,22.94865,22.371929,22.46805,10010300,22.315073
AA,2016-06-03,22.68432,22.99671,22.299841,22.87656,8629900,22.7208
AA,2016-06-06,23.14089,23.693581,23.14089,23.645519,6371900,23.484526
AA,2016-06-10,23.18895,23.429251,22.708349,22.80447,7852300,22.649202
AA,2016-06-13,22.756411,23.092831,22.39596,22.39596,5432200,22.243473
AA,2016-06-17,22.708349,23.18895,22.61223,23.020741,12160000,22.864002
AA,2016-06-20,23.40522,23.909849,23.357161,23.453279,7038400,23.293594
AA,2016-06-24,22.972679,23.40522,22.46805,22.54014,14154500,22.386671
AA,2016-06-27,22.299841,22.3479,21.506849,21.8673,9099500,21.718414
AA,2016-07-01,22.299841,23.044769,22.27581,22.94865,7618400,22.7924
AA,2016-07-08,22.708349,23.74164,22.68432,23.59746,10790300,23.436792
AA,2016-07-11,23.93388,24.46254,23.717609,24.366421,15493800,24.20052
AA,2016-07-15,25.76016,26.33688,25.73613,26.240761,9594800,26.062096
AA,2016-07-18,26.00046,26.28882,25.76016,26.240761,6804800,26.062096
AA,2016-07-22,25.42374,25.61598,25.20747,25.39971,4237800,25.226772
AA,2016-07-25,25.32762,25.35165,24.991199,25.20747,5763200,25.035841
AA,2016-07-29,25.495831,25.591949,25.039261,25.519859,6832900,25.346104
AA,2016-08-01,25.35165,25.471800000000002,25.13538,25.15941,4831400,24.98811
AA,2016-08-05,25.111349,25.231501,24.967171,25.231501,5115400,25.132769
AA,2016-08-08,25.231501,25.471800000000002,25.01523,25.111349,3953900,25.013086
AA,2016-08-12,24.919109,24.991199,24.318359,24.438511,5779200,24.342882
AA,2016-08-15,24.630751,25.42374,24.582689,25.27956,5498000,25.180639
AA,2016-08-19,24.847019,24.895081,24.558661,24.67881,5478000,24.582241
AA,2016-08-22,24.510599,24.87105,24.41448,24.79896,3832800,24.70192
