symbol,year,adjusted,cpi,ppi,annual.dividend
WM,2015,2.8420679999999976,3.0139999999999816,-8.5,1.54
WM,2016,18.445774,4.884999999999991,5.599999999999994,1.64
WM,2017,16.512008999999992,4.1299999999999955,5.600000000000023,1.7
WM,2018,4.562134,3.836999999999989,3.0999999999999943,1.86
WM,2019,26.612449999999995,5.8940000000000055,-0.09999999999999432,2.052
WM,2020,-4.440239000000005,-1.6059999999999945,-8.200000000000017,1.09
WMB,2015,-12.732645000000002,3.0139999999999816,-8.5,2.45
WMB,2016,5.666804000000003,4.884999999999991,5.599999999999994,1.6800000000000002
WMB,2017,0.25345800000000196,4.1299999999999955,5.600000000000023,1.2
WMB,2018,-6.782765999999999,3.836999999999989,3.0999999999999943,1.36
WMB,2019,2.481914999999997,5.8940000000000055,-0.09999999999999432,1.52
WMB,2020,-2.678597,-1.6059999999999945,-8.200000000000017,0.8
WMT,2015,-19.922069,3.0139999999999816,-8.5,1.96
WMT,2016,8.645561,4.884999999999991,5.599999999999994,2
WMT,2017,30.52954499999999,4.1299999999999955,5.600000000000023,2.55
WMT,2018,-3.06448300000001,3.836999999999989,3.0999999999999943,2.08
WMT,2019,27.11309100000001,5.8940000000000055,-0.09999999999999432,2.12
WMT,2020,13.842574999999997,-1.6059999999999945,-8.200000000000017,1.08
WRB,2015,2.902901,3.0139999999999816,-8.5,0.3133333333333333
WRB,2016,8.943336000000002,4.884999999999991,5.599999999999994,0.5622199999999999
WRB,2017,3.9640040000000027,4.1299999999999955,5.600000000000023,0.5933326666666666
WRB,2018,3.544097999999998,3.836999999999989,3.0999999999999943,0.7955546666666666
WRB,2019,21.851323,5.8940000000000055,-0.09999999999999432,1.5366666666666666
WRB,2020,-5.153388999999997,-1.6059999999999945,-8.200000000000017,0.22999999999999998
WRK,2015,-12.780524999999997,3.0139999999999816,-8.5,0.6757365528425984
WRK,2016,9.989041,4.884999999999991,5.599999999999994,1.4507365528425984
WRK,2017,12.189471999999995,4.1299999999999955,5.600000000000023,1.6300000000000001
WRK,2018,-23.301274,3.836999999999989,3.0999999999999943,1.745
WRK,2019,5.750843000000003,5.8940000000000055,-0.09999999999999432,1.83
WRK,2020,-12.643301000000001,-1.6059999999999945,-8.200000000000017,0.665
WST,2015,8.262963,3.0139999999999816,-8.5,0.45
WST,2016,27.12475599999999,4.884999999999991,5.599999999999994,0.49
WST,2017,14.913116000000002,4.1299999999999955,5.600000000000023,0.53
WST,2018,-0.8944549999999936,3.836999999999989,3.0999999999999943,0.5700000000000001
WST,2019,54.301574999999985,5.8940000000000055,-0.09999999999999432,0.61
WST,2020,95.496429,-1.6059999999999945,-8.200000000000017,0.32
WU,2015,0.4645830000000011,3.0139999999999816,-8.5,0.62
WU,2016,4.082539000000001,4.884999999999991,5.599999999999994,0.64
WU,2017,-1.9842179999999985,4.1299999999999955,5.600000000000023,0.7
WU,2018,-1.2255439999999993,3.836999999999989,3.0999999999999943,0.76
WU,2019,10.052456000000003,5.8940000000000055,-0.09999999999999432,0.8
WU,2020,-3.6747150000000026,-1.6059999999999945,-8.200000000000017,0.45
WY,2015,-3.9477539999999998,3.0139999999999816,-8.5,1.2
WY,2016,1.2685470000000016,4.884999999999991,5.599999999999994,1.24
WY,2017,5.407406000000002,4.1299999999999955,5.600000000000023,1.25
WY,2018,-11.299018999999998,3.836999999999989,3.0999999999999943,1.32
WY,2019,9.650390000000002,5.8940000000000055,-0.09999999999999432,1.36
WY,2020,-3.0875260000000004,-1.6059999999999945,-8.200000000000017,0.34
WYNN,2015,-66.97074099999999,3.0139999999999816,-8.5,3
WYNN,2016,17.866665000000005,4.884999999999991,5.599999999999994,2
WYNN,2017,77.741966,4.1299999999999955,5.600000000000023,2
WYNN,2018,-59.75571400000001,3.836999999999989,3.0999999999999943,2.75
WYNN,2019,37.46386,5.8940000000000055,-0.09999999999999432,3.75
WYNN,2020,-59.64502700000001,-1.6059999999999945,-8.200000000000017,1
XEL,2015,0.9912489999999998,3.0139999999999816,-8.5,1.28
XEL,2016,5.548577999999999,4.884999999999991,5.599999999999994,1.36
XEL,2017,8.108642000000003,4.1299999999999955,5.600000000000023,1.44
XEL,2018,2.9074060000000017,3.836999999999989,3.0999999999999943,1.52
XEL,2019,16.333453999999996,5.8940000000000055,-0.09999999999999432,1.62
XEL,2020,4.820934000000001,-1.6059999999999945,-8.200000000000017,0.86
XLNX,2015,4.1976470000000035,3.0139999999999816,-8.5,1.22
XLNX,2016,14.818309999999997,4.884999999999991,5.599999999999994,1.3
XLNX,2017,9.208073000000006,4.1299999999999955,5.600000000000023,1.38
XLNX,2018,18.18853,3.836999999999989,3.0999999999999943,1.43
XLNX,2019,12.010902999999999,5.8940000000000055,-0.09999999999999432,1.47
XLNX,2020,-0.2758479999999963,-1.6059999999999945,-8.200000000000017,0.75
XOM,2015,-9.730651999999992,3.0139999999999816,-8.5,2.88
XOM,2016,13.18295299999999,4.884999999999991,5.599999999999994,2.98
XOM,2017,-3.4711380000000105,4.1299999999999955,5.600000000000023,3.06
XOM,2018,-12.418816,3.836999999999989,3.0999999999999943,3.23
XOM,2019,3.167456999999999,5.8940000000000055,-0.09999999999999432,3.4299999999999997
XOM,2020,-25.047069999999998,-1.6059999999999945,-8.200000000000017,1.74
XRAY,2015,8.901527000000002,3.0139999999999816,-8.5,0.291
XRAY,2016,-0.8042980000000028,4.884999999999991,5.599999999999994,0.312
XRAY,2017,7.466065,4.1299999999999955,5.600000000000023,0.4395
XRAY,2018,-29.010552000000004,3.836999999999989,3.0999999999999943,0.352
XRAY,2019,18.864086999999998,5.8940000000000055,-0.09999999999999432,0.376
XRAY,2020,-11.864894999999997,-1.6059999999999945,-8.200000000000017,0.2
XRX,2015,-6.894984999999998,3.0139999999999816,-8.5,2.9512516469038212
XRX,2016,-3.3761410000000005,4.884999999999991,5.599999999999994,3.2674571805006587
XRX,2017,1.936366999999997,4.1299999999999955,5.600000000000023,1.5625
XRX,2018,-7.944011999999997,3.836999999999989,3.0999999999999943,1
XRX,2019,16.830381000000003,5.8940000000000055,-0.09999999999999432,1
XRX,2020,-18.505373,-1.6059999999999945,-8.200000000000017,0.5
XYL,2015,-0.9214510000000047,3.0139999999999816,-8.5,0.5632
XYL,2016,13.340378000000001,4.884999999999991,5.599999999999994,0.6196
XYL,2017,18.589096000000005,4.1299999999999955,5.600000000000023,0.72
XYL,2018,-0.5415259999999904,3.836999999999989,3.0999999999999943,0.84
XYL,2019,13.020706000000004,5.8940000000000055,-0.09999999999999432,0.96
XYL,2020,-5.036613000000003,-1.6059999999999945,-8.200000000000017,0.52
YUM,2015,1.501968000000005,3.0139999999999816,-8.5,0.8734363767074047
YUM,2016,11.871483000000005,4.884999999999991,5.599999999999994,0.9768080517613227
YUM,2017,18.643506000000002,4.1299999999999955,5.600000000000023,1.2
YUM,2018,11.421096000000006,3.836999999999989,3.0999999999999943,1.44
YUM,2019,10.687866,5.8940000000000055,-0.09999999999999432,1.68
YUM,2020,-10.614380000000011,-1.6059999999999945,-8.200000000000017,0.94
ZBH,2015,-8.740311000000005,3.0139999999999816,-8.5,0.88
ZBH,2016,2.196747000000002,4.884999999999991,5.599999999999994,0.96
ZBH,2017,17.788437000000002,4.1299999999999955,5.600000000000023,0.96
ZBH,2018,-19.049492,3.836999999999989,3.0999999999999943,0.96
ZBH,2019,47.928428999999994,5.8940000000000055,-0.09999999999999432,0.96
ZBH,2020,-13.380402000000004,-1.6059999999999945,-8.200000000000017,0.48
ZION,2015,-0.7119160000000022,3.0139999999999816,-8.5,0.22
ZION,2016,15.383413999999998,4.884999999999991,5.599999999999994,0.28
ZION,2017,7.562843000000001,4.1299999999999955,5.600000000000023,0.44
ZION,2018,-8.563963999999999,3.836999999999989,3.0999999999999943,1.04
ZION,2019,11.254761000000002,5.8940000000000055,-0.09999999999999432,1.28
ZION,2020,-18.90242,-1.6059999999999945,-8.200000000000017,0.68
ZTS,2015,4.7670829999999995,3.0139999999999816,-8.5,0.332
ZTS,2016,6.495818999999997,4.884999999999991,5.599999999999994,0.38
ZTS,2017,18.520743999999993,4.1299999999999955,5.600000000000023,0.42
ZTS,2018,14.042564000000013,3.836999999999989,3.0999999999999943,0.504
ZTS,2019,48.189468000000005,5.8940000000000055,-0.09999999999999432,0.656
ZTS,2020,11.11717299999998,-1.6059999999999945,-8.200000000000017,0.6000000000000001
